"Date","Price","Open","High","Low","Vol.","Change %"
"07/02/2025","71.93","70.59","72.29","70.55","21.00K","1.91%"
"07/03/2025","72.06","71.70","72.79","71.06","22.29K","0.18%"
"07/04/2025","71.67","72.32","72.32","71.25","12.91K","-0.54%"
"07/07/2025","71.20","71.70","71.99","70.62","17.58K","-0.66%"
"07/08/2025","70.42","71.22","71.46","70.28","20.66K","-1.10%"
"07/09/2025","70.39","70.45","71.08","69.89","17.80K","-0.04%"
"07/10/2025","70.74","70.37","71.55","70.31","18.58K","0.50%"
"07/11/2025","70.55","70.60","71.00","69.64","21.76K","-0.27%"
"07/14/2025","70.42","70.10","71.39","69.52","23.69K","-0.18%"
"07/15/2025","71.51","70.30","71.65","69.99","19.39K","1.55%"
"07/16/2025","71.31","71.28","72.39","70.84","18.06K","-0.28%"
"07/17/2025","70.55","71.16","71.39","70.32","20.01K","-1.07%"
"07/18/2025","69.89","70.55","71.03","69.84","18.03K","-0.94%"
"07/21/2025","69.83","70.12","70.55","69.72","20.62K","-0.09%"
"07/22/2025","69.11","69.91","69.91","68.86","24.53K","-1.03%"
"07/23/2025","69.36","69.34","69.99","69.00","19.48K","0.36%"
"07/24/2025","70.88","69.83","71.18","69.23","30.79K","2.19%"
"07/25/2025","71.34","71.11","71.50","70.64","17.46K","0.65%"
"07/28/2025","70.65","71.50","72.25","70.06","24.47K","-0.97%"
"07/29/2025","73.08","70.73","73.30","70.40","32.11K","3.44%"
"07/30/2025","72.86","73.18","73.35","72.52","15.02K","-0.30%"
"07/31/2025","72.66","72.64","73.07","72.22","20.49K","-0.27%"
"08/01/2025","71.04","72.30","72.43","71.00","27.57K","-2.23%"
"08/04/2025","70.85","71.00","71.33","70.15","22.02K","-0.27%"
"08/05/2025","71.59","70.86","71.74","70.50","21.04K","1.04%"
"08/06/2025","70.99","71.39","71.71","70.75","17.20K","-0.84%"
"08/07/2025","71.77","70.73","72.01","70.30","25.41K","1.10%"
"08/08/2025","73.21","71.96","73.35","71.80","28.22K","2.01%"
"08/11/2025","72.37","72.98","73.15","72.00","18.80K","-1.15%"
"08/12/2025","71.50","72.29","72.42","71.37","17.89K","-1.20%"
"08/13/2025","71.74","71.50","72.15","71.26","14.85K","0.34%"
"08/14/2025","70.96","71.88","71.88","70.57","27.41K","-1.09%"
"08/15/2025","70.68","71.02","71.31","70.28","16.55K","-0.39%"
"08/18/2025","71.82","70.89","71.99","70.30","22.94K","1.61%"
"08/19/2025","71.16","71.65","72.08","71.03","21.75K","-0.92%"
"08/20/2025","71.29","71.30","71.54","70.65","17.71K","0.18%"
"08/21/2025","72.62","71.49","72.76","71.06","26.99K","1.87%"
"08/22/2025","72.53","72.60","72.80","72.26","14.90K","-0.12%"
"08/25/2025","72.19","72.51","72.60","71.82","15.15K","-0.47%"
"08/26/2025","72.75","72.04","72.98","71.58","21.04K","0.78%"
"08/27/2025","72.24","72.72","73.30","71.93","19.03K","-0.70%"
"08/28/2025","71.72","72.34","72.34","71.31","24.62K","-0.72%"
"08/29/2025","72.99","71.72","73.05","71.60","23.41K","1.77%"
"09/01/2025","73.97","72.90","74.55","72.78","32.66K","1.34%"
"09/02/2025","73.61","74.12","74.44","73.36","28.08K","-0.49%"
"09/03/2025","74.95","73.46","75.05","73.42","28.90K","1.82%"
"09/04/2025","75.44","75.00","75.71","74.58","27.45K","0.65%"
"09/05/2025","76.04","75.29","76.25","75.29","27.46K","0.80%"
"09/08/2025","77.17","76.05","77.32","75.50","28.61K","1.49%"
"09/09/2025","76.90","77.00","77.23","76.00","31.66K","-0.35%"
"09/10/2025","77.10","77.00","77.58","76.25","25.23K","0.26%"
"09/11/2025","75.54","77.17","77.30","75.30","34.84K","-2.02%"
"09/12/2025","75.77","75.34","76.03","75.10","21.58K","0.30%"
"09/15/2025","76.75","75.60","77.06","75.11","29.11K","1.29%"
"09/16/2025","77.51","77.05","78.26","76.49","32.48K","0.99%"
"09/17/2025","76.98","77.50","78.45","76.69","31.13K","-0.68%"
"09/18/2025","77.84","76.94","78.23","76.83","26.38K","1.12%"
"09/19/2025","77.55","77.65","77.75","77.01","18.70K","-0.37%"
"09/22/2025","76.21","77.69","77.69","75.91","27.29K","-1.73%"
"09/23/2025","76.79","76.21","77.25","75.77","25.55K","0.76%"
"09/24/2025","76.02","76.64","76.78","75.77","22.11K","-1.00%"
"09/25/2025","75.76","76.03","76.59","75.36","25.39K","-0.34%"
"09/26/2025","75.98","75.53","76.10","75.10","20.19K","0.29%"
"09/29/2025","76.79","75.85","76.97","75.06","27.91K","1.07%"
"09/30/2025","75.72","76.79","76.80","75.57","24.55K","-1.39%"
"10/01/2025","76.33","75.61","76.56","74.51","33.97K","0.81%"
"10/02/2025","77.43","76.35","77.80","76.11","31.99K","1.44%"
"10/03/2025","79.16","77.65","79.55","77.52","33.99K","2.23%"
"10/06/2025","78.75","79.72","80.11","78.61","31.03K","-0.52%"
"10/07/2025","78.31","78.75","79.13","78.00","27.64K","-0.56%"
"10/08/2025","79.01","78.14","79.29","77.90","19.36K","0.89%"
"10/09/2025","79.23","78.90","79.54","78.04","25.18K","0.28%"
"10/10/2025","79.68","79.22","80.37","79.01","31.64K","0.57%"
"10/13/2025","78.12","79.54","79.74","77.76","32.33K","-1.96%"
"10/14/2025","76.92","77.90","77.90","76.69","32.10K","-1.54%"
"10/15/2025","77.88","76.73","78.30","76.68","26.10K","1.25%"
"10/16/2025","79.51","78.06","79.69","77.61","27.00K","2.09%"
"10/17/2025","79.46","78.99","79.90","78.12","32.20K","-0.06%"
"10/20/2025","79.82","79.50","79.96","78.65","25.31K","0.45%"
"10/21/2025","79.58","79.81","79.99","78.92","22.99K","-0.30%"
"10/22/2025","78.46","79.40","79.64","78.15","24.52K","-1.41%"
"10/23/2025","78.44","78.48","79.19","78.02","25.44K","-0.03%"
"10/24/2025","78.32","78.49","78.89","77.91","17.20K","-0.15%"
"10/27/2025","77.77","78.30","78.30","77.01","23.00K","-0.70%"
"10/28/2025","78.32","77.94","78.88","77.50","23.63K","0.71%"
"10/29/2025","78.81","78.65","79.13","78.18","21.72K","0.63%"
